I0418 19:28:27.578756       1 exporter.go:400] "Logging... while exportConns, conn is Dying" Conn={SourceAddress:10.10.1.17 DestinationAddress:8.8.4.4 Protocol:1 SourcePort:0 DestinationPort:0} conn.IsPresent=false
I0418 19:28:27.578812       1 exporter.go:400] "Logging... while exportConns, conn is Dying" Conn={SourceAddress:10.10.1.18 DestinationAddress:1.1.1.1 Protocol:1 SourcePort:0 DestinationPort:0} conn.IsPresent=false
I0418 19:28:27.578864       1 exporter.go:400] "Logging... while exportConns, conn is Dying" Conn={SourceAddress:10.10.1.19 DestinationAddress:1.1.1.1 Protocol:1 SourcePort:0 DestinationPort:0} conn.IsPresent=false
I0418 19:28:27.578921       1 exporter.go:400] "Logging... while exportConns, conn is Dying" Conn={SourceAddress:10.10.1.13 DestinationAddress:8.8.8.8 Protocol:1 SourcePort:0 DestinationPort:0} conn.IsPresent=false
I0418 19:28:27.578982       1 exporter.go:400] "Logging... while exportConns, conn is Dying" Conn={SourceAddress:10.10.1.12 DestinationAddress:10.10.0.4 Protocol:6 SourcePort:45686 DestinationPort:5201} conn.IsPresent=false
I0418 19:28:27.579064       1 exporter.go:400] "Logging... while exportConns, conn is Dying" Conn={SourceAddress:10.10.1.15 DestinationAddress:8.8.4.4 Protocol:1 SourcePort:0 DestinationPort:0} conn.IsPresent=false
I0418 19:28:27.579137       1 exporter.go:400] "Logging... while exportConns, conn is Dying" Conn={SourceAddress:10.10.1.16 DestinationAddress:8.8.8.8 Protocol:1 SourcePort:0 DestinationPort:0} conn.IsPresent=false
I0418 19:28:27.580791       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.5 43552 192.168.77.100 6443 6] conn.IsDying=false
I0418 19:28:27.580824       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.20 0 8.8.4.4 0 1] conn.IsDying=false
I0418 19:28:27.580836       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.8 34346 10.10.0.3 5201 6] conn.IsDying=false
I0418 19:28:27.580845       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.33 52954 10.10.1.31 4739 6] conn.IsDying=false
I0418 19:28:27.581559       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.9 38956 10.10.1.10 5201 6] conn.IsDying=false
I0418 19:28:27.581677       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.14 0 8.8.8.8 0 1] conn.IsDying=false
I0418 19:28:27.581691       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.9 38954 10.10.1.10 5201 6] conn.IsDying=false
I0418 19:28:27.581698       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.11 43290 10.10.0.2 5201 6] conn.IsDying=false
I0418 19:28:27.581706       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.0.1 38641 10.10.1.33 4739 6] conn.IsDying=false
I0418 19:28:27.581712       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.17 0 8.8.4.4 0 1] conn.IsDying=false
I0418 19:28:27.581718       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.12 45684 10.10.0.4 5201 6] conn.IsDying=false
I0418 19:28:27.581725       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.18 0 1.1.1.1 0 1] conn.IsDying=false
I0418 19:28:27.581732       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.8 34344 10.10.0.3 5201 6] conn.IsDying=false
I0418 19:28:27.581738       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.19 0 1.1.1.1 0 1] conn.IsDying=false
I0418 19:28:27.581745       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.33 59086 192.168.77.100 6443 6] conn.IsDying=false
I0418 19:28:27.581751       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.13 0 8.8.8.8 0 1] conn.IsDying=false
I0418 19:28:27.581758       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.3 56978 192.168.77.100 6443 6] conn.IsDying=false
I0418 19:28:27.581765       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.12 45686 10.10.0.4 5201 6] conn.IsDying=false
